School,Year,Dating Violence,Domestic Violence,Fondling,Incest,Rape,Stalking,Statutory Rape,Religious,Enrollment,Potential Rape Total,Potential Fondling Total,Rape Per 10k,Fondling Per 10k,Stalking Per 10k,Dating Violence Per 10k,Domestic Violence Per 10k,Potential Rape Per 10k,Potential Fondling Per 10k
OU,2020,4,15,13,0,33,9,0,False,30903,165,33.0,10.6785748956412,4.206711322525321,2.9123386079021456,1.2943727146231756,4.8538976798369085,53.392874478206,10.6785748956412
OU,2021,7,21,11,0,19,8,0,False,31255,95,28.0,6.079027355623101,3.5194368900975843,2.559590465525516,2.2396416573348263,6.718924972004479,30.3951367781155,8.958566629339305
OU,2022,10,16,16,0,20,19,1,False,31655,100,40.0,6.31811720107408,5.054493760859264,6.002211341020376,3.15905860053704,5.054493760859264,31.5905860053704,12.63623440214816
TCU,2020,7,0,4,0,17,4,0,True,11379,85,10.0,14.939801388522717,3.5152473855347566,3.5152473855347566,6.151682924685825,0.0,74.69900694261358,8.788118463836891
TCU,2021,17,15,8,0,22,4,0,True,11938,110,20.0,18.428547495392863,6.701289998324678,3.350644999162339,14.24024124643994,12.56491874685877,92.14273747696431,16.753224995811692
TCU,2022,5,1,4,0,12,5,0,True,12273,60,10.0,9.777560498655586,3.259186832885195,4.073983541106494,4.073983541106494,0.8147967082212988,48.887802493277924,8.147967082212988
TTU,2020,19,1,7,0,7,21,0,False,40322,35,18.0,1.736024998759982,1.736024998759982,5.208074996279946,4.712067853777095,0.24800357125142602,8.680124993799911,4.464064282525668
TTU,2021,22,18,19,0,26,65,0,False,40666,130,48.0,6.393547435203856,4.67220774111051,15.98386858800964,5.409924752864801,4.426302070525747,31.96773717601928,11.803472188068657
TTU,2022,14,21,8,0,23,44,0,False,40528,115,20.0,5.6750888274773,1.9739439399921042,10.856691669956573,3.4544018949861823,5.181602842479273,28.3754441373865,4.934859849980261
UCF,2020,15,3,7,0,8,25,0,False,71948,40,18.0,1.1119141602268305,0.9729248901984766,3.4747317507088455,2.084839050425307,0.4169678100850614,5.559570801134153,2.5018068605103685
UCF,2021,14,0,8,0,16,24,0,False,70406,80,20.0,2.2725335908871402,1.1362667954435701,3.4088003863307104,1.9884668920262476,0.0,11.3626679544357,2.840666988608925
UCF,2022,13,2,8,0,14,34,1,False,68442,70,20.0,2.0455276000116887,1.1688729142923935,4.967709885742672,1.8994184857251397,0.29221822857309837,10.227638000058445,2.922182285730984
UH,2020,14,8,4,0,5,34,1,False,47101,25,10.0,1.0615485870788306,0.8492388696630645,7.218530392136048,2.972336043820726,1.698477739326129,5.307742935394153,2.123097174157661
UH,2021,14,12,5,0,12,29,0,False,47031,60,13.0,2.5515085794475985,1.0631285747698327,6.166145733665029,2.9767600093555315,2.5515085794475985,12.757542897237993,2.7641342944015648
UH,2022,18,10,1,0,13,18,0,False,46700,65,3.0,2.7837259100642395,0.21413276231263384,3.8543897216274092,3.8543897216274092,2.141327623126338,13.9186295503212,0.6423982869379015
UTA,2020,7,10,12,0,24,18,0,False,50282,120,30.0,4.773079829760152,2.386539914880076,3.5798098723201144,1.3921482836800445,1.9887832624000634,23.865399148800762,5.9663497872001905
UTA,2021,9,4,18,0,21,19,0,False,51786,105,45.0,4.0551500405515,3.4758428919012863,3.668945274784691,1.7379214459506431,0.7724095315336191,20.2757502027575,8.689607229753216
UTA,2022,7,17,18,0,28,31,0,False,52384,140,45.0,5.345143555284056,3.4361637141111787,5.9178375076359195,1.336285888821014,3.2452657299938914,26.72571777642028,8.590409285277948
WV,2020,0,6,4,0,9,14,0,False,26269,45,10.0,3.4260915908485288,1.522707373710457,5.3294758079866,0.0,2.284061060565686,17.130457954242644,3.806768434276143
WV,2021,0,18,12,0,17,14,0,False,25474,85,30.0,6.673470990029049,4.710685404726387,5.495799638847452,0.0,7.066028107089582,33.36735495014525,11.77671351181597
WV,2022,0,21,17,0,21,22,0,False,27367,105,43.0,7.673475353527972,6.211861000475024,8.038878941791209,0.0,7.673475353527972,38.36737676763986,15.71235429531918
